timestamp, gpu_util_percent, memory_used_MiB, memory_total_MiB
2026/09/15 01:16:21.517, 0, 949, 49140
2026/09/15 01:16:51.568, 0, 949, 49140
2026/09/15 01:17:21.619, 33, 949, 49140
2026/09/15 01:17:51.671, 0, 949, 49140
2026/09/15 01:18:21.724, 0, 949, 49140
2026/09/15 01:18:51.775, 0, 949, 49140
2026/09/15 01:19:21.827, 0, 949, 49140
2026/09/15 01:19:51.879, 0, 949, 49140
2026/09/15 01:20:21.930, 0, 949, 49140
2026/09/15 01:20:51.982, 0, 949, 49140
2026/09/15 01:21:22.033, 36, 949, 49140
2026/09/15 01:21:52.084, 0, 949, 49140
2026/09/15 01:22:22.136, 0, 949, 49140
2026/09/15 01:22:52.190, 0, 949, 49140
2026/09/15 01:23:22.242, 6, 949, 49140
2026/09/15 01:23:52.292, 0, 949, 49140
2026/09/15 01:24:22.343, 0, 949, 49140
2026/09/15 01:24:52.395, 0, 949, 49140
2026/09/15 01:25:22.445, 0, 949, 49140
2026/09/15 01:25:52.495, 0, 949, 49140
2026/09/15 01:26:22.544, 0, 949, 49140
2026/09/15 01:26:52.596, 0, 949, 49140
2026/09/15 01:27:22.647, 0, 949, 49140
2026/09/15 01:27:52.698, 0, 949, 49140
2026/09/15 01:28:22.751, 0, 949, 49140
2026/09/15 01:28:52.802, 35, 949, 49140
2026/09/15 01:29:22.853, 0, 949, 49140
2026/09/15 01:29:52.906, 0, 949, 49140
2026/09/15 01:30:22.958, 0, 949, 49140
2026/09/15 01:30:53.009, 0, 949, 49140
2026/09/15 01:31:23.061, 0, 949, 49140
2026/09/15 01:31:53.113, 0, 949, 49140
2026/09/15 01:32:23.164, 0, 949, 49140
2026/09/15 01:32:53.216, 0, 2, 49140
2026/09/15 01:33:23.267, 0, 2, 49140
2026/09/15 01:33:53.321, 0, 2, 49140
2026/09/15 01:34:23.374, 0, 2, 49140
2026/09/15 01:34:53.426, 0, 2, 49140
2026/09/15 01:35:23.478, 0, 2, 49140
2026/09/15 01:35:53.504, 0, 2, 49140
2026/09/15 01:36:23.556, 0, 2, 49140
2026/09/15 01:36:53.608, 0, 2, 49140
2026/09/15 01:37:23.660, 0, 2, 49140
2026/09/15 01:37:53.712, 0, 2, 49140
2026/09/15 01:38:23.764, 0, 2, 49140
2026/09/15 01:38:53.815, 0, 2, 49140
2026/09/15 01:39:23.866, 0, 2, 49140
2026/09/15 01:39:53.917, 0, 2, 49140
2026/09/15 01:40:23.968, 0, 2, 49140
2026/09/15 01:40:54.030, 0, 2, 49140
2026/09/15 01:41:24.081, 0, 4, 49140
2026/09/15 01:41:54.132, 0, 9519, 49140
2026/09/15 01:42:24.182, 0, 9519, 49140
2026/09/15 01:42:54.235, 0, 9519, 49140
2026/09/15 01:43:24.286, 0, 9519, 49140
2026/09/15 01:43:54.338, 0, 9519, 49140
2026/09/15 01:44:24.390, 41, 10242, 49140
2026/09/15 01:44:54.441, 41, 10242, 49140
2026/09/15 01:45:24.496, 0, 10356, 49140
2026/09/15 01:45:54.553, 45, 13407, 49140
2026/09/15 01:46:24.604, 46, 13407, 49140
2026/09/15 01:46:54.655, 46, 13407, 49140
2026/09/15 01:47:24.698, 46, 13407, 49140
2026/09/15 01:47:54.749, 47, 13407, 49140
2026/09/15 01:48:24.802, 47, 13413, 49140
2026/09/15 01:48:54.849, 45, 13415, 49140
2026/09/15 01:49:24.872, 95, 13415, 49140
2026/09/15 01:49:54.925, 44, 12226, 49140
2026/09/15 01:50:24.976, 46, 12919, 49140
2026/09/15 01:50:55.026, 50, 12919, 49140
2026/09/15 01:51:25.076, 47, 12919, 49140
2026/09/15 01:51:55.127, 42, 12226, 49140
2026/09/15 01:52:25.178, 43, 12226, 49140
2026/09/15 01:52:55.229, 43, 12226, 49140
2026/09/15 01:53:25.280, 43, 12226, 49140
